Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
The AI-Driven Project Manager: 10X Your Productivity with Generative AI,"Learn how to uplevel your projects and streamline your work with ChatGPT. In this course, senior program manager and founder of Path to PM Jean Kang shares proven tips to help you automate and speed up common project management tasks. Learn how to use ChatGPT to build a project plan, based on factors such as resource availability and project timelines. Discover how to leverage ChatGPT for risk and change management to quickly identify potential issues and take action before they threaten project outcomes. Explore ways to use ChatGPT to craft stakeholder communication tailored to each individual, taking into account their preferences and communication style. Finally, Jean delves into using ChatGPT for project tracking and reporting, so that you can stay on top of project progress and make data-driven decisions.",Course,2025-03-18 12:55 UTC,N/A,false,N/A,
Communicating with Confidence (2015),"Most people are afraid of speaking in public, but effective oral communication is a key skill in business. Jeff Ansell provides simple communication tools, strategies, and tips that are easy to use and produce immediate results. He'll help you sound more confident, use body and language to better express ideas, and overcome anxiety. In the last chapter of the course, all these concepts are brought together in two real-world coaching exercises that will help you see the techniques in action.",Course,2018-10-30 10:49 UTC,N/A,false,N/A,
Business Development: Strategic Planning (2019),"Strategic planning is key to successful business development. If you plunge forward without clearly defining your goals and how you’ll meet them, you run the risk of misplacing your energy and failing to make the kind of progress you envisioned. In this course, Meridith Powell shares how to use strategic planning to work smarter as you develop your business. Learn how to clearly define the long-term goal you want to accomplish, build your strategic planning team, and create a vision, mission, and purpose statement. Plus, learn how to create strategic initiatives, implement your plan, and assess the progress that you’re making (or not making) towards your goals.",Course,2021-02-19 23:11 UTC,N/A,false,N/A,
Becoming Head of Sales: Developing Your Playbook,"Throughout his decade-long tenure as the head of sales at LinkedIn, Mike Gamson has amassed a wealth of knowledge on the topic of sales leadership. In this course, Mike shares what he knows with you, spelling out how to run a successful sales team. Discover how to develop a strong, consistent leadership voice, inspire your team, and define your objectives. Plus, learn how to establish your core principles; implement global and local strategies; execute your tactics; and observe, analyze, and adjust to ensure that you're able to grapple with any missteps.",Course,2018-09-18 12:14 UTC,N/A,false,N/A,
Nano Tips to Project Confidence and Executive Presence with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and global peak performance consultant to Fortune 500 companies Shadé Zahrai shows you frameworks that will support you in building genuine connections, speaking with precision, and maintaining poise. Learn ways to project confidence in your communication, refine your presence using concise messages, and reinforce your credibility through a confident posture. Plus, learn to amplify your influence with  a positive presence, asking thoughtful questions, and communicating with credibility.</p>

<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-12-23 22:03 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-03-01 07:03 UTC,N/A,false,N/A,
Having Difficult Conversations (2013),"Leadership coach and lynda.com director of learning and development Britt Andreatta shares her tips and strategies for having difficult conversations. In her four-phase model, you'll discover the situations that lead up to difficult conversations, decide when the conversation is warranted, prepare for the interaction, and monitor outcomes to ensure success.<br><br>

Along the way, learn the secrets of turning difficult conversations into successful interactions that enhance communication and rapport. Improve both your professional and personal relationships, finding your way back from conflict through mutually successful outcomes.<br><br>Lynda.com is a PMI Registered Education Provider. This course qualifies for professional development units (PDUs). To view the activity and PDU details for this course, click <a href=""https://ccrs.pmi.org/search/Activity/215655"" target=""_blank"">here</a>.<br><img src=""https://media.licdn.com/media/AAYAAQCwAAoAAQAAAAAAAEek_v1B9xtISnas4Pi7rm5RPg.jpg"" height=""50%"" width=""50%""><br>The PMI Registered Education Provider logo is a registered mark of the Project Management Institute, Inc.",Course,2018-10-31 07:36 UTC,N/A,false,N/A,
The Event Planner's Guide: Ten Tips for Impactful Marketing,"Looking to make your events stand out? Rachel Romero, a digital and event marketing expert, guides you through creating unforgettable experiences. This course provides the practical steps and insights needed to turn attendees into advocates. After this course, you'll be able to organize, promote, and execute events that resonate deeply and leave lasting impressions on target audiences.",Course,2026-04-01 16:41 UTC,N/A,false,N/A,
What to Post on LinkedIn to Stand Out,"In this course, senior program manager Sarah Ohlson shows you how to craft a LinkedIn presence that elevates your professional standing and engages your network. Learn about the four key posting strategies that successful LinkedIn creators consistently use. Discover how to align your content with your career objectives, using practical templates and real-life examples that guide your learning journey. Gain insights into defining your audience, optimizing your posting schedule, and creating posts that drive meaningful engagement. Find out how to build your brand and connect with opportunities aligned with your goals. Enhance your professional visibility and impact through strategic content distribution and community engagement. This course empowers you to expand your professional reach, grow your network, and build a consistent brand with actionable insights and strategies.",Course,2026-03-05 18:37 UTC,N/A,false,N/A,
Holding Yourself Accountable (2017),"Being accountable is more than just being responsible for something—it's also, ultimately being answerable for your actions. To hold yourself accountable, you must find the motivation to do difficult things. You need to amplify the urgency of your mission, know why it matters, and understand how taking responsibility helps you become the kind of person you want to be. In this course, personal branding expert Dorie Clark helps you adopt the accountability mindset. Dorie outlines specific, practical steps you can take to implement accountability.",Course,2018-07-07 07:21 UTC,N/A,false,N/A,
